AAPL,108.86,https://finance.yahoo.com/quote/AAPL?p=AAPL
NIO,30.58,https://finance.yahoo.com/quote/NIO?p=NIO
GE,7.42,https://finance.yahoo.com/quote/GE?p=GE
TWTR,41.36,https://finance.yahoo.com/quote/TWTR?p=TWTR
F,7.73,https://finance.yahoo.com/quote/F?p=F
CCL,13.71,https://finance.yahoo.com/quote/CCL?p=CCL
BAC,23.70,https://finance.yahoo.com/quote/BAC?p=BAC
NOK,3.3700,https://finance.yahoo.com/quote/NOK?p=NOK
PINS,58.95,https://finance.yahoo.com/quote/PINS?p=PINS
SNAP,39.39,https://finance.yahoo.com/quote/SNAP?p=SNAP
AMD,75.29,https://finance.yahoo.com/quote/AMD?p=AMD
AAL,11.28,https://finance.yahoo.com/quote/AAL?p=AAL
T,27.02,https://finance.yahoo.com/quote/T?p=T
XOM,32.62,https://finance.yahoo.com/quote/XOM?p=XOM
FB,263.11,https://finance.yahoo.com/quote/FB?p=FB
TSLA,388.04,https://finance.yahoo.com/quote/TSLA?p=TSLA
NCLH,16.63,https://finance.yahoo.com/quote/NCLH?p=NCLH
ITUB,4.0900,https://finance.yahoo.com/quote/ITUB?p=ITUB
INTC,44.28,https://finance.yahoo.com/quote/INTC?p=INTC
MSFT,202.47,https://finance.yahoo.com/quote/MSFT?p=MSFT
ABEV,2.1400,https://finance.yahoo.com/quote/ABEV?p=ABEV
WFC,21.45,https://finance.yahoo.com/quote/WFC?p=WFC
VALE,10.57,https://finance.yahoo.com/quote/VALE?p=VALE
CSCO,35.90,https://finance.yahoo.com/quote/CSCO?p=CSCO
MRO,3.9600,https://finance.yahoo.com/quote/MRO?p=MRO
BBD,3.5000,https://finance.yahoo.com/quote/BBD?p=BBD
C,41.42,https://finance.yahoo.com/quote/C?p=C
ET,5.15,https://finance.yahoo.com/quote/ET?p=ET
DKNG,35.40,https://finance.yahoo.com/quote/DKNG?p=DKNG
PFE,35.48,https://finance.yahoo.com/quote/PFE?p=PFE
OPK,3.5200,https://finance.yahoo.com/quote/OPK?p=OPK
AUY,5.56,https://finance.yahoo.com/quote/AUY?p=AUY
OXY,9.13,https://finance.yahoo.com/quote/OXY?p=OXY
BP,15.48,https://finance.yahoo.com/quote/BP?p=BP
SIRI,5.73,https://finance.yahoo.com/quote/SIRI?p=SIRI
CMCSA,42.24,https://finance.yahoo.com/quote/CMCSA?p=CMCSA
UAA,13.84,https://finance.yahoo.com/quote/UAA?p=UAA
PBR,6.63,https://finance.yahoo.com/quote/PBR?p=PBR
PLUG,14.00,https://finance.yahoo.com/quote/PLUG?p=PLUG
BSX,34.27,https://finance.yahoo.com/quote/BSX?p=BSX
FE,29.72,https://finance.yahoo.com/quote/FE?p=FE
ZNGA,8.99,https://finance.yahoo.com/quote/ZNGA?p=ZNGA
PLTR,10.13,https://finance.yahoo.com/quote/PLTR?p=PLTR
UAL,33.86,https://finance.yahoo.com/quote/UAL?p=UAL
ABBV,85.10,https://finance.yahoo.com/quote/ABBV?p=ABBV
CX,4.1500,https://finance.yahoo.com/quote/CX?p=CX
NLY,7.09,https://finance.yahoo.com/quote/NLY?p=NLY
CVX,69.50,https://finance.yahoo.com/quote/CVX?p=CVX
KMI,11.90,https://finance.yahoo.com/quote/KMI?p=KMI
RCL,56.42,https://finance.yahoo.com/quote/RCL?p=RCL
PE,10.01,https://finance.yahoo.com/quote/PE?p=PE
FSLY,63.51,https://finance.yahoo.com/quote/FSLY?p=FSLY
